geneName,motifNumber,motifPosition,cellType,section_id,pvalue,deltaMedian,motifMedian,typeMedian,numCellMotif,numCellType
Ucn3,13,1,1,1,8.04759409039513,0.0020069045,0.005310457,0.0033035525,591,896
Col25a1,21,1,13,4,7.97655382374924,2.1004399,5.979430709,3.878990809,79,233
Prlr,4,1,6,5,7.95872430880455,0.719023164,7.988350513,7.269327349,323,404
Tac1,11,1,11,5,7.95406813849908,0.3805230175,0.385837801,0.0053147835,20,74
Syt4,13,1,1,4,7.87421468910468,-0.673961691,3.61450776,4.288469451,540,819
Ucn3,7,1,21,5,7.86477252467806,0.006654866,0.020322115,0.013667249,67,98
Oxtr,5,1,6,2,7.80689203646979,0.9907201525,0.9907201525,0,22,108
Syt4,2,1,8,3,7.79311297531807,1.30741303,21.88498582,20.57757279,138,162
Sln,5,1,6,1,7.77819828873935,0.04363107,0.04363107,0,123,271
Crh,13,1,1,2,7.74850064294616,0.004012678,0.028622465,0.024609787,674,958
Sln,6,1,10,5,7.73188180463156,0.0095653445,0.0095653445,0,84,144
Cbln1,5,1,6,4,7.70048950439319,0.725798154,0.725798154,0,179,412
Tac1,6,1,10,1,7.66647318602247,0.0070733085,0.022108735,0.0150354265,219,326
Htr2c,14,1,8,1,7.6380004226074,0.6145887735,0.790049347,0.1754605735,92,214
Sst,15,1,4,4,7.63509425818638,0.018460896,0.024127434,0.005666538,39,167
Pcdh11x,13,1,1,4,7.62034086995513,-0.2574749695,0.8215035395,1.078978509,540,819
Cckar,21,1,13,4,7.59275322122449,1.716370755,5.421699809,3.705329054,79,233
Ucn3,7,1,21,3,7.5516043089572,0.0019018265,0.044472495,0.0425706685,96,118
Ar,13,1,1,5,7.46555607815155,-0.408050151,1.112759193,1.520809344,511,805
Cd24a,20,1,17,3,7.43261592838788,0.963228488,1.578293467,0.615064979,38,93
Irs4,19,2,20,2,7.39355266011081,18.03007124,47.31314818,29.28307694,26,85
Npy2r,27,1,19,4,7.38924083508783,1.836601136,1.836601136,0,24,80
Penk,5,1,6,4,7.37792539719742,0.0089069635,0.010248002,0.0013410385,179,412
