Cell_ID,SID,Centroid_X,Centroid_Y,cellType
2322d26d-166d-49b5-9ba4-7e1b9613ba1c,7,-15344.7277739681,-770.056478212283,3
f1952e02-69fe-4fc2-9015-160196a1ab39,7,-15326.5502455681,-757.803029212283,25
600f8c5b-4282-487a-b5aa-456702e9f2d1,7,-15308.2515987681,-804.531964212284,25
7e78859c-0952-4116-be5d-ef914db4c3e4,7,-15289.9654184681,-697.455404212283,11
58e766f3-2a73-4185-a0ed-8a9ddd2d7e57,7,-15280.4919185681,-752.272023212283,1
2e465199-d25b-4ac8-8a97-b0ab2f4084f4,7,-15249.5889053681,-713.596157212283,48
56707bbd-d568-4413-854e-dc8229a4ee44,7,-15238.7153761681,-732.728238212283,75
93e25bcf-2276-4180-af8c-bf319c0b7785,7,-15196.8747624681,-734.499556212284,25
a238e1c0-d7fd-49d0-a23d-761e6562b421,7,-15189.2787808681,-708.896885212283,9
6ed519a9-e3c4-4fab-a900-99b2fb832c80,7,-15366.7813897681,-731.435773212283,25
6cd84f92-40f2-49a6-9de1-5bee0e225fae,7,-15321.3544160681,-762.410965212283,25
9b5bed40-6755-4840-b2f8-c7470e987f7d,7,-15284.8048523681,-703.443000212283,11
f94eee57-10f8-4f1d-87e6-da040c149bf2,7,-15257.4784437681,-777.423139212283,2
a0be9915-798e-4919-b0fc-7a219d60f5ac,7,-15200.0877417681,-821.461949212283,1
184193c6-16f4-4aca-8aaf-010dbedef6a3,7,-15195.8801387681,-709.061394212283,25
f3d629ad-c8c6-4351-960c-9a6227883c97,7,-15266.3315992681,-772.745328212283,49
570caa25-76a0-4401-b9c3-43c5a7dba1f6,7,-15259.3726985681,-706.980418212283,25
659bf016-ff41-49d1-948d-5aff4669dbdd,7,-15375.1255656681,-721.371691212283,3
686c3dfc-fec0-4690-82fa-eb4e3ecaaad7,7,-15313.3820968681,-695.656072212284,1
b793c7a5-53f7-4cfc-84b3-572ca7652d8c,7,-15258.1672238681,-693.030963212283,18
5653c31b-8f14-47ce-b62a-70dfeb74e828,7,-15233.9612602681,-715.064820212283,48
21dbe87b-596a-48f5-bc53-99cb3281274c,7,-15228.4278476681,-729.256131212283,21
ba245191-468a-45e7-aeae-064ea7b1f94c,7,-15217.8737713681,-704.993887212283,25
abfaecc8-18ef-444e-8257-6f90bf1c2ec8,7,-15361.1525582681,-576.321712212283,1
c53b4eed-14a6-493f-9ff2-0a4f4b2c9b06,7,-15361.8712573681,-506.736263212284,1
e5c7c78c-4af0-441d-92e3-d2df4f80e098,7,-15363.4650947681,-545.899785212283,31
29a2799f-9b38-407d-8193-c4a2c7adb44d,7,-15355.1913144681,-639.401947212283,11
f984c8ce-e9e6-4841-ba8a-25718e9196cb,7,-15352.5815236681,-563.907777212283,25
aa325d68-ef21-4a6c-9758-49a667e1d4e3,7,-15347.1693673681,-497.133114212283,1
3c29c819-b91b-462d-96d4-9941ca6290ca,7,-15342.2051872681,-523.739538212283,44
bb9e516a-4061-4afa-95e8-069a5909df23,7,-15340.8319511681,-502.822605212283,64
2976677a-e2bf-45bd-a83a-d901685ac560,7,-15338.6677465681,-649.208441212284,7
